ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
8473;Verificarea tensiunii minime de orientare corecta spre blocaj a elementului directional al releului de distanta RD110 se face pentru unghiul de:;60 grade capacitiv;60 grade inductiv;70 grade inductiv;70 grade capacitiv;-;B;PROFESIONALA;6
8475;In cadrul verificarilor care se fac la releul de distanta tip PD 32, izolatia se considera satisfacatoare daca rezistenta masurata a fiecarui circuit in parte este de cel putin:;1 Mohmi;2 Mohmi;1,5 Mohmi;-;-;B;PROFESIONALA;6
8476;Verificarea blocajului la pendulatii la un releu de distanta D114, consta in:;unghiul intern al releelor directionale SW si SJ, masurarea temporizarii la actionare al releului P;unghiul intern al releelor directionale SW si SJ, masurarea temporizarii la revernire al releului P;unghiul intern al releelor directionale SW si SJ, masurarea temporizarii la actionare al releului P si verificarea elementului de directie;unghiul intern al releelor directionale SW si SJ, masurarea temporizarii la revenire al releului P si verificarea elementului de directive;-;B;PROFESIONALA;6
8477;In cazul releului pentru protectia selectiva impotriva punerilor la pamant in retelele cu neutrul izolat sau compensat, rezistenta de izolatie a releului trebuie sa fie:;30 Mohmi intre fiecare clema si masa la o tensiune de 500 Vcc;30 Mohmi intre fiecare clema si masa la o tensiune de 1000 Vcc;5 Mohmi intre fiecare clema si masa la o tensiune de 500 Vcc;5 Mohmi intre fiecare clema si masa la o tensiune de 1000 Vcc;200 Mohmi intre fiecare clema si masa la o tensiune de 500 Vcc;A;PROFESIONALA;6
8478;Una din metodele de desensibilizare a protectiei diferentiale a transformatoarelor fata de socurile curentului de magnetizare consta in desensibilizarea prin curent. Aceasta metoda consta in reglarea curentului protectiei la o valoare superioara curentului de soc de magnetizare, valoare care, din practica exploatarii, a rezultat ca sigura, pentru un curent egal cu:;2 - 3 In;3 - 4 In;1,5 - 2 In;-;-;B;PROFESIONALA;6
8479;La releul de distanta tip RD110, caracteristica de impedanta mixta asigura o rezerva de arc de circa:;60% din impedanta de actionare reglata;70% din impedanta de actionare reglata;80% din impedanta de actionare reglata;-;-;A;PROFESIONALA;6
8480;Releul de frecventa RFm4 se blocheaza in cazul in care frecventa scade sub valoare de:;45 Hz;35 Hz;47 Hz;-;-;B;PROFESIONALA;6
8481;Principalele interblocari dintr-o statie de transformare sunt:;In cazul sistemelor simple de bare colectoare, separatorul de bare va avea ca permisie de actionare semnalul: intreruptorul celulei respective deschis;In cazul sistemelor de bare colectoare multiple, un separator de bare va avea ca permisie de actionare semnalul: separatoarele de pe circuitul respectiv aferente celorlalte sisteme de bare si intreruptorul din celula respectiva deschise sau separatorul aferent altui sistem de bare si cupla transversala respectiva inchis;In cazul existentei unei bare de transfer, separatorul de pe bara de transfer a unui element va avea ca permisie de inchidere semnalul: intreruptorul cuplei de transfer deschis si nici un separator al altui circuit(exceptand, evident, cupla de transfer) nu este conectat la bara de transfer;in cazurile in care, pentru legarea la pamant a barelor colectoare se utilizeaza un separator sau un cutit special de legare la pamant, inchiderea acestuia va fi permisa numai in prezenta semnalului: separatorarele de bare ale tuturor circuitelor racordate la bare inchise;-;ABC;PROFESIONALA;6
8482;Schema de conectare in triunghi a secundarelor TC si a releelor in stea, prezinta urmatoarele caracteristici in functionare:;releele sunt parcurse de diferenta curentilor de faza si deci actioneaza la orice fel de scurtcircuit;relatia dintre curentii secundari pe faza si curentii prin relee depinde de felul scurtcircuitelor, de exemplu, in cazul unui scurtcircuit trifazat, curentii prin relee sunt de radical din 3 ori mai mari decat curentii pe faza si defazati fata de acestia cu 30 de grade;relatia dintre curentii secundari pe faza si curentii prin relee depinde de felul scurtcircuitelor, de exemplu, in cazul unui scurtcircuit trifazat, curentii prin relee sunt de radical din 2 ori mai mari decat curentii pe faza si defazati fata de acestia cu 30 de grade;relatia dintre curentii secundari pe faza si curentii prin relee depind de felul scurtcircuitelor, de exemplu, in cazul unui scurtcircuit trifazat, curentii prin relee sunt de radical din 3 ori mai mari decat curentii pe faza si defazati fara de acestia cu 60 de grade;-;AB;PROFESIONALA;6
8483;Schema cu doua TC si un releu de curent parcurs de diferenta curentilor secundari pe doua faze se utilizeaza in protectii impotriva scurtcircuitelor:;monofazate;polifazate;monofazate si polifazate;-;-;B;PROFESIONALA;5
8484;Principalele trasaturi ale releelor numerice ale firmelor ABB si Siemens sunt:;functii de protectii selectabile;setarea parametrilor si inregistrarea lor;afisarea valorilor masurate;inregistrarea perturbatiilor;stabilitate termica;ABCD;PROFESIONALA;2
8485;Ca protectii proprii barelor colectoare se folosesc:;protectia diferentiala de nul;protectia maximala de curent;protectia de distanta;protectia de curent de secventa homopolara;protectia diferentiala;ABDE;PROFESIONALA;5
8486;Protectiile prin sigurante fuzibile prezinta urmatoarele avantaje:;au o constructie simpla si un pret de cost redus;au efect limitator intrerupand curentul de scurtcircuit inainte ca acesta sa atinga valoarea maxima;posibilitatea intreruperii unei singure faze, in cazul protectiei motoarelor electrice trifazate;-;-;AB;PROFESIONALA;2
8487;Generic, un sistem SCADA asigura integrarea instalatiei tehnologice cu sistemul informatic de intreprindere. Principalele lui componente si caracteristici sunt:;sistemul de securitate;colectarea datelor pe termen lung (istoric de date);generarea de rapoarte;lucru cu baze de date externe;sistem de alarme si de mesaje;ABCDE;PROFESIONALA;2
8488;Efectele fotoelectrice au la originea lor eliberarea sarcinilor intr-un material sub influenta unei radiatii luminoase de aceea se disting mai multe tipuri:;efectul fotoemisiv;efectul fotovoltaic;efectul fotoelectromagetic;-;-;ABC;PROFESIONALA;2
8489;La motoarele asincrone, curentii de suprasarcina sunt provocati de:;supraincarcarea mecanismului actionat de motor;scaderea tensiunii retelei de alimentare;functionarea motorului la tensiune nominala simetrica;intreruperea unui faze a circuitului care alimenteaza motorul;-;ABD;PROFESIONALA;5
8490;Posibilitatile de pornire ale unei scheme AAR sunt:;prin protectia care determina declansarea intrerupatorului elementului de legatura;prin declansarea intrerupatorului elementului de legatura;prin masurarea tensiunii pe barele statiei de alimentare;la arderea sigurantelor de la celula de masura;-;ABC;PROFESIONALA;6
8491;Se interzice montarea sigurantelor fuzibilie:;pe conductorul de nul de lucru din circuitele bifazate cu trei conductoare si trifazate cu patru conductoare;pe conductoarele instalatiei de protectie impotriva tensiunilor de atingere periculoase prin legare la pamant;-;-;-;AB;PROFESIONALA;3
8493;Care din urmatoarele functii de protectie si de automatizare pot fi setate in releul de protectie SIPROTEC 4 7SA6?;Functia (21/21N) - protectie de distanta;Functia (87L) - Protectie diferentiala de linie Functia (87T) - Protectie difernetiala de transformator;Functia (81O/U) - Protectie maximala/minimala de frecventa Functia (50/51) - Protectia de supracurent de faza;Functia (59/27) - Protectie maximala/minimala de tensiune Functia (49) - Protectie Termica (supratemperatura);Functia (85) - Teleprotectie Functia (79) - Reanclansare automata rapida;ACDE;PROFESIONALA;6
8494;Cate zone de protectie se pot seta in releul de protectie SIPROTEC 4 7SA6 pentru protectia de distanta?;In protectia de distanta se pot seta cinci zone, din care ultimele doua sunt nedirectionate;In protectia de distanta se pot seta patru zone, din care ultimele doua sunt nedirectionate;"In protectia de distanta se pot seta patru zone independente si una prelungita, toate zonele putand fi directionate ""inainte"", ""in spate"" sau nedirectionate";"In protectia de distanta se pot seta sase zone independente si una prelungita, toate zonele putand fi directionate ""inainte"", ""in spate"" sau nedirectionate";"In protectia de distanta se pot seta cinci zone independente si una prelungita, toate zonele putand fi directionate ""inainte"", ""in spate"" sau nedirectionate";E;PROFESIONALA;6
8495;Ce informatii transmite LED-ul verde situat deasupra ecranului LCD in cazul releului RED 670?;Daca LED-ul verde emite flash-uri inseamna ca terminalul numeric este in modul de testare;Daca LED-ul verde lumineaza constant inseamna ca terminalul numeric este in functiune;Daca LED-ul verde lumineaza constant inseamna ca este emisa comanda de declansare;Daca LED-ul verde nu lumineaza inseamna ca terminalul numeric nu este alimentat;Daca LED-ul verde emite flash-uri inseamna ca exista o eroare interna;BDE;PROFESIONALA;6
8497;Pentru protectia caror echipamente este folosita functia de protectie diferentiala inclusa in releele numerice din gama 7UT6?;Pentru protectia transformatoarelor de putere cu o singura infasurare;Pentru protectia generatoarelor si a motoarelor;Pentru protectia liniilor electrice scurte;Pentru protectia transformatoarelor de masura;Pentru protectia transformatoarelor cu doua pana la cinci infasurari;BCE;PROFESIONALA;5
8498;Codul ANSI 79 reprezinta functia de:;protectie maximala de curent temporizata;protectie homopolara de curent directionata;reanclansare automata rapida;-;-;C;PROFESIONALA;2
8499;Comunicatiile prin fibra optica sunt afectate de interferente electromagnetice?;Da, daca acestea se afla in proximitatea echipamentelor de inalta tensiune;Da, daca acestea se afla in proximitatea echipamentelor de inalta sau medie tensiune;Nu, comunicatiile prin fibra optica nu sunt afectate de interferentele electromagnetice;-;-;C;PROFESIONALA;3
8500;Releele de protectie Siemens din gama Siprotec 4 permit configurarea de grupuri de setari multiple?;Nu, este posibila setarea unei singure grupe de setari;Da, permit setarea a maxim patru grupe de setari;Da, permit setarea a maxim doua grupe de setari;-;-;B;PROFESIONALA;3
8501;"La releele de protectie Siemens din gama SIPROTEC 4, autorizarea de comutare poate fi schimbata din pozitia ""remote"" in pozitia ""local"" de catre un operator aflat la distanta (centu de comanda/dispecer) fata de releul in cauza?";Nu. Din motive de securitate, autorizarea de comutare poate fi modificata numai local.;Da. Autorizarea de comutare poate fi schimbata de la distanta numai de catre personalul din cadrul centrului de comanda (dispecer) instruit in acest sens.;Da. Autorizarea de comutare poate fi schimbata de la distanta pentru rapiditate in exploatare;-;-;A;PROFESIONALA;5
8544;Functiile de protectie ale terminalului numeric 7SJ64xxx pot fi:;protectie directionala la supracurent(ANSI67, 67N);protectia de distanta(ANSI 21);detectarea directionala a punerii la pamant accidentale(ANSI 64, 67Ns/67N);functii flexibile de protectie;protectie in caz de defectare a intrerupatorului(ANSI 50BF);ACDE;PROFESIONALA;6
8545;In terminalul Siprotec 64xx se poate implementa functia Detectarea directionala a punerii la pamant accidentale (ANSI 64, 67Ns/67N);pentru retelele cu faza neutra izolata, se evalueaza componenta de curent reactiv;pentru retelele cu faza neutra izolata, se evalueaza componenta de curent activ;pentru retelele compensate, se evalueaza componenta de curent activ;pentru retelele compensate, se evalueaza componenta de curent reactiv;-;AC;PROFESIONALA;6
8547;In terminalul numeric tip Siemens SIPROTEC sunt disponibile urmatoarele optiuni:;functii de protectie si de telecontrol in echipamente separate;dispozitive de protectie care au capacitatea de comanda a intrerupatorului prin interfata de comunicatii;dispozitive cu functii combinate, care pe langa functiile de protectie a dispozitivului, ofera si numeroase functii de telecontrol local pentru cateva dispozitive in comutatie si care includ functii extensive de control;controleaza impedanta liniei defecte si armonica 3 care se scurge spre locul de scurtcircuit;-;ABC;PROFESIONALA;6
8548;Dispozitivele SIPROTEC 4 suporta standardele internationale de comunicatii deschise:;PROFIBUS FMS;PROFIBUS RTU;IEC 60870-5-103;DNP 3.00 Level 4;Conexiune Ethernet conform IEC 61850;ACE;PROFESIONALA;6
8549;In terminal SIPROTEC elementele de informatie sunt interconectate prin intermediul unei matrici care include:;parametrii si functiile utilizate;setarile specifice fiecarei functii de protectie, control, masura si semnalizare;setarile necesare comunicatiei cu sistemul SCADA;informatii despre sistemul controlat;-;D;PROFESIONALA;6
8550;Transformatoarele de curent de secventa homopolara au urmatoarele proprietati:;au curenti de dezechilibru mult mai mici decat transformatoarele de curent obisnuite, legate ca filtre de secventa homopolara;au curenti de dezechilibru mult mai mari decat transformatoarele de curent obisnuite, legate ca filtre de secventa homopolara,;raportul de transformare al acestor transformatoare nu depinde de raportul dintre numarul de spire ale infasurarilor primara si secundara;raportul de transformare al acestor transformatoare depinde de raportul dintre numarul de spire ale infasurarilor primara si secundara;-;AC;PROFESIONALA;6
8551;La releul directional cu elemente statice tip RDC-3 unghiul de sensibilitate maxima poate avea valori:;30, 45, 60 grade capacitiv;30, 60, 110 grade inductiv;30, 45, 110 grade capacitiv;45, 60, 110 grade capacitiv;-;C;PROFESIONALA;6
8552;Precizia releului prezinta:;diferenta dintre valoarea parametrului de intrare la care se produce actionarea releului si valoarea parametrului de intrare reglata pe releu;diferenta dintre valoarea parametrului de intrare la care se produce actionarea releului si valoarea parametrului de revenire;raportul dintre valoarea parametrului de intrare la care se produce actionarea releului si valoarea parametrului de intrare reglata pe releu;raportul dintre valoarea parametrului de intrare la care se produce actionarea releului si valoarea parametrului de revenire;-;A;PROFESIONALA;6
8553;Releele de distanta RD110, D114, D115, sunt caracterizate prin urmatoarele elemente comune:;un singur element de masura a impedantei;un singur element de blocaj la pendulatii;un singur element de directie;demaraj la supracurent pe cele trei faze si nul;-;AC;PROFESIONALA;6
8555;Echipamentele numerice trebuie prevazute cu interfetele necesare, care sa permita:;dialogul direct, local, cu operatorul, de exemplu, prin tastatura si display inclus in releu si prin conectarea directa a unui calculator portabil;dialogul doar prin conectarea directa la un calculator;este suficient prezenta unui display cu schema sinoptica;urmarirea indicatiilor LED-urilor de pe panou;conectarea(din prima etapa sau intr-o etapa ulterioara), la sistemul de control asistat de calculator la nivelul statiei si la nivelurile de teleconducere;AD;PROFESIONALA;6
8556;Functionarea tuturor protectiilor numerice trebuie:;semnalizate optic, local(pe echipamentul respectiv, cu anulare locala si, recomandabil, de la distanta, a semnalelor autoretinute);ca volumul informatiilor semnalizate sa permita identificarea (dupa avarie) a protectiei care a actionat, a treptei de actionare, a fazei defecte, etc.;sa se aprinda LED-urile de alarma;nu este obligatorie semnalizarea optica, locala;-;AB;PROFESIONALA;6
8559;Marimile analogice principale de intrare in releele bazate pe microprocesor, ca de exemplu tensiunile si curentii sinusoidali, sunt de cele mai multe ori incarcate de armonici si zgomote nedorite;este necesara o filtrare, pentru a extrage numai componentele de frecventa fundamentala;este necesara o conversie analog digitala;este necesara o filtrare, pentru a identifica armonicile superioare;acest defazaj este 180 grade pe linia defecta;-;A;PROFESIONALA;5
8560;Ca protectii proprii barelor colectoare se folosesc:;protectia transversala de curent;protectia diferentiala;protectia maximala de faza;-;-;B;PROFESIONALA;2
8561;Lista principalelor caracteristici ale releelor numerice ale firmelor ABB si Siemens:;sunt relee de putere;prelucrarea in totalitate a semnalelor numerice;rutine de testare executate in mod ciclic, mai ales prin software;inregistrarea perturbatiilor;sunt alimentate conform schemei de 90 grade;BCD;PROFESIONALA;5
8562;Intreruperea lucrarii la sfarsitul programului de lucru zilnic, precum si reluarea lucrarii intr-una din zilele urmatoare, in cazul lucrarilor cu scoatere de sub tensiune dar cu repunere zilnica sub tensiune, trebuie sa se faca:;de catre seful de lucrare cu anuntarea si aprobarea admitentului;cu demontarea de catre seful de lucrare a mijloacelor de protectie si dispozitivele din zona de lucru, la sfarsitul programului de lucru zilnic;cu verificarea de catre seful de lucrare a conditiilor tehnice necesare repunerii sub tensiune a instalatiei(partii din instalatie);cu evacuarea de catre seful de lucrare a membrilor formatiei, consemnand in autorizatia de lucru data si ora intreruperii lucrarii si semnand in partea rezervata in acest scop;seful de lucrare trebuie sa comunice admitentului intreruperea lucrarii, demontarea mijloacelor de protectie si dispozitivelor din zona de lucru, montate prin grija sa, inclusiv evacuarea membrilor formatiei de lucru, specificand ca instalatia poate fi pusa sub tensiune;BCDE;PROTECTIA MUNCII;3
8563;Instruirea lucratorilor in domeniul sanatatii si securitatii in munca cuprinde fazele:;instruirea introductiv-generala;instruirea la locul de munca;instruirea periodica;instruirea suplimentara;-;ABC;PROTECTIA MUNCII;3
8564;Lucrarile de verificari la instalatiile de automatizare aferente partii electrice a centralelor si statiilor electrice cu tensiuni pana la 400 kV pot fi efectuate:;simultan cu lucrarile de punere in functiune sau mentenanta precum si alte catergorii de lucrari efectuate la echipamentele primare, ca parte integrata a aceluiasi subsistem al instalatiei;independent de alte lucrari in cadrul aceluiasi subsistem, conform celor stabilite de unitatea de exploatare, prin planificarile lucrarilor respective respectand cerintele Regulamentului de conducere si organizare a activitatii de mentenanta;oricand doreste unitatea de exploatare;in functie de disponibilitatea unitatii de mentenanta;-;AB;PROFESIONALA;3
8565;Pentru obtinerea unor lucrari de calitate la verificarile instalatiilor de automatizare aferente partii electrice a centralelor si statiilor electrice cu tensiuni pana la 400 kV de calitate, trebuie avute in vedere;intocmirea programului de verificari, cu toate lucrarile auxiliare necesare;intreruperea acelor circuite in sirul de cleme care ar putea influenta functionarea restului instalatiei(circuite de blocaj, DRRI, protectia diferentiala de bare, etc.);folosirea unor truse(eventual specializate) si aparate de calitate;folosirea sculelor de calitate;pentru echipamentele multifunctionale cu microprocesoare, cerintele minime ale PC-ului de control si de efectuare a reglajelor(parametrizarilor) se vor lua din documentatia tehnica a echipamentului sau din procedurile operationale intocmite in scopul verificarilor acestor echipamente;ABCDE;PROFESIONALA;3
8567;Pentru masurarea rezistentei de izolatie a circuitelor independente (nelegate galvanic), se considera ca circuitele de curent, de masura si de protectie, care apartin instalatiei verificate din acelasi subsistem, cuprind:;infasurarile secundare ale transformatoarelor de curent (pe durata masuratorilor se desface legatura de legare la pamant);circuitele din cabluri si din panouri/dulapuri, inclusiv sirurile de cleme;transformatoarele de curent de egalizare (pe durata masuratorilor se face o legatura intre infasurarea primara si cea secundara);circuitele de curent ale echipamentelor instalatiei verificate;-;ABCD;PROFESIONALA;2
8568;Pentru masurarea rezistentei de izolatie a circuitelor independente (nelegate galvanic), se considera ca circuitele de tensiune, de masura si de protectie, care apartin instalatiei verificate din acelasi subsistem, cuprind:;infasurarile secundare ale transformatoarelor de tensiune (pe durata masuratorilor se desface legatura de legaere la pamant);circuitele din cabluri si din panouri/dulapuri, inclusiv sirurile de cleme, pana la sigurantele sau intreruptoarele automate;transformatoarele intermediare daca exista (pe durata masuratorilor se face o legatura intre infasurarea primara si cea secundara);circuitele de curent ale echipamentelor instalatiei verificate;-;ABC;PROFESIONALA;2
8569;Pentru incercarea rigiditatii dielectrice a instalatiilor de automatizare aferente partii electrice a centralelor si statiilor electrice cu tensiuni pana la 400 kV, urmatoarele afirmatii sunt adevarate:;se incearca starea izolatiei circuitelor independente (nelegate galvanic), intre ele, precum si intre acestea si pamant, cu 2000 V, 50 Hz;se incearca starea izolatiei circuitelor independente (nelegate galvanic), intre ele, precum si intre acestea si pamant, cu un megohmetru de 2500 V, timp de 1 minut;se incearca starea izolatiei circuitelor independente (nelegate galvanic), intre ele, precum si intre acestea si pamant, cu un megohmetru de 1500 V, timp de 1 minut;in urma verificarilor trebuie sa nu se produca strapungeri sau conturnari prin aer sau in masa materialului izolant;verificarile se executa la PIF si la lucrari nivel N4;ABDE;PROFESIONALA;6
8570;Pentru verificarile functionale ale releelor/functiilor de temporizare:;se determina valorile de actionare reglabile/parametrizabile cu tensiune operativa avand valoarea Un;se verifica 3 valori din domeniul de masura al releului/functiei, pentru alimentarea cu tensiune operativa corespunzatoare 0,8 Un si 1,1 Un;se verifica 3 valori din domeniul de masura al releului/functiei, pentru alimentarea cu tensiune operativa corespunzatoare 0,9 Un si 1,1 Un;eroarea determinata pentru fiecare punct de functionare sa nu depaseasca eroarea maxima mentionata in documentatia tehnica a releului/echipamentului (in lipsa acestor valori se va considera 5% pentru relee cu o durata de functionare mai mare de 15 ani si 3% pentru o vechime mai mica);eroarea determinata pentru fiecare punct de functionare sa nu depaseasca eroarea maxima mentionata in documentatia tehnica a releului/echipamentului (in lipsa acestor valori se va considera 10% pentru relee cu o durata de functionare mai mare de 15 ani si 5 % pentru o vechime mai mica);ABE;PROFESIONALA;5
8571;Pentru verificarile functionale ale releelor/functiei directionale se determina:;domeniile de actionare/neactionare ale releului/functiei corespunzator variatiei unghiului de defazaj, intre curentul aplicat si tensiunea aplicata, pe intervalul 0 - 360 grade;unghiul de sensibilitate maxima;lipsa actionarii releului/functiei la disparitia uneia din marimile de actionare (curent sau tensiune);orientarea corecta a releului/functiei directionale, in cele doua domenii de functionare, pentru doua situatii distincte, cand unghiul intre curent si tensiune are valoarea Ô?™ si respectiv unghiul Ô?™+90 grade;orientarea corecta a releului/functiei directionale, in cele doua domenii de functionare, pentru doua situatii distincte, cand unghiul intre curent si tensiune are valoarea Ô?™ si respectiv unghiul Ô?™+180 grade;ABCE;PROFESIONALA;5
8572;La verificarile functionale ale releelor/functiilor diferentiale se determina caracteristica Ilucru=f(Ifranare) astfel:;se determina valorile Ilucru corespunzator curentului de franare zero;se determina minimum trei puncte ale caracteristicilor sau cate doua puncte pentru fiecare zona cu pante distincte;se determina Ilucru reglat/parametrizat corespunzator curentului de franare zero;se determina minimum trei puncte ale caracteristicii reglate/parametrizate sau cate doua puncte pentru fiecare zona cu panta distincta;-;ACD;PROFESIONALA;5
8573;La verificarile functionale ale releelor/functiilor diferentiale se determina eficienta blocajului la socul curentului de magnetizare astfel:;"prin determinarea raportului I100Hz/I50Hz (sau o caracteristica echivalenta); aceasta verificare nu se efectueaza la releele diferentiale care au transformatoare cu saturatie rapida";valoarea masurata a raportului I100Hz/I50Hz (sau a unui indicator echivalent) trebuie sa corespunda cu valoarea precizata de fabrica producatoare (in lipsa acestuia se poate considera domeniul 0,16 - 0,25);prin 5 - 6 puneri sub tensiune (in gol) a transformatorului, prin toate infasurarile conectate la surse, protectia/functia diferentiala nu trebuie sa actioneze;-;-;ABC;PROFESIONALA;5
8577;Pentru realizarea verificarilor dulapurilor si echipamentelor de protectie complexe trebuie efectuate urmatoarele activitati preliminarii:;retinerea, din jurnalul de reglaje si stari (Setting Guide), a valorilor de reglaj alese (Settings), pentru fiecare functie de protectie care urmeaza sa se verifice;identificarea, din jurnalul de reglaje si setari (Setting Guide), a intrarilor analogice alocate fiecarei functii din protectia care urmeaza sa se verifice;identificarea, din jurnalul de reglaje si setari (Setting Guide), a intrarilor logice alocate fiecarei functii de protectie care urmeaza sa se verifice;-;-;ABC;PROFESIONALA;2
8578;La verificarile functionale ale dispozitivului/functiei de reanclansare automata rapida (RAR) se verifica actionarea corecta, respectiv:;precizia timpilor de blocaje si pauze RAR;precizia releului/functiei de tensiune minima;precizia releului/functiei de sincronizare;intregul program logic al dispozitivului/functiei RAR, pentru alimentarea cu tensiune operativa corespunzator 0,8Un, Un si 1,1 Un;intregul program logic al dispozitivului/functiei RAR, pentru alimentarea cu tensiune operativa corespunzator 0,8Un si 1,2Un;ABCD;PROFESIONALA;5
8579;La verificarea dispozitivelor de actionare a intreruptoarelor si a separatoarelor:;se va verifica functionarea corecta a dispozitivelor de actionare pentru alimentarea cu tensiune operativa la 0,8 Un si 1,1 Un;se va verifica functionarea corecta a dispozitivelor de actionare pentru alimentarea cu tensiune operativa la 0,9 Un si 1,2 Un;se va verifica functionarea corecta a dispozitivelor de actionare pentru alimentarea cu tensiune operativa la Un;in cazul dispozitivelor de actionare cu doua bobine tandem, verificarea se face separat pentru fiecare bobina, cu marimea operativa corespunzatoare;-;ACD;PROFESIONALA;6
8580;In cazul dispozitivului de anclansare automata a rezervei (AAR) si dispozitivului de reanclansare automata a buclelor deschise (RABD), pentru verificarea interactiunii releelor in cadrul schemei folosite, se va verifica;intregul program al instalatiei/echipamentului/functiei AAR(RABD) prin simularea disparitiei tensiunii pe alimentarea de baza;interactiunea cu protectiile individuale care au rol in functionarea AAR(RABD);finalizarea comenzilor de declansare/anclansare a intreruptoarelor implicite;-;-;ABC;PROFESIONALA;5
8582;Referitor la protectia de punere la masa a barelor colectoare (PMB) din statiile cu neutrul tratat prin rezistenta, urmatoarele afirmatii sunt adevarate:;"elimina defectele monofazate din zona barelor colectoare de MT si impiedica transformarea lor in defecte polifazate; permite eliminarea rapida a acestor tipuri de defecte, reducandu-se astfel pagubele pricinuite de arcul electric in celula sau la barele MT ale statiei";necesita realizarea unui colector de pamant capabil sa asigure punerea la pamant sigura si independenta a maselor metalice a celulelor din statia de MT;necesita realizarea unei instalatii de legare la pamant suplimentare la care sa fie legate mantalele si cutiile terminale ale cablurilor MT si legarea acestei instalatii la priza exterioara a statiei in doua puncte distincte cu banda de OL de 40x4 mm;necesita izolarea cutiilor terminale si a cablurilor de MT fata de masa metalica a celulelor MT;necesita legarea la pamant a cutitului de punere la pamant a cablului din celule de MT la instalatia suplimentara de punere la pamant si izolarea acestuia fata de masa metalica a celulei;ABCDE;PROFESIONALA;6
8583;Referitor la protectia homopolara de curent temporizata (PHCL) aferenta liniilor MT radiale, urmatoarele afirmatii sunt adevarate:;elimina defectele monofazate;"timpul de eliminare al defectului in lipsa altei protectii homopolare situate in aval se recomanda 0,5 secunde; in cazul existentiei unei alte protectii homopolare temporizate in aval se recomanda realizarea intre cele doua protectii a unei trepte de timp 0,2 secunde";"timpul de eliminare al defectului in lipsa altei protectii homopolare situate in aval se recomanda 0,2 secunde; in cazul existentei unei alte protectii homopolare temporizate in aval se recomanda realizarea intre cele doua protectii a unei trepte de timp de 0,5 secunde";timpul de reglaj al protectiei trebuie in asa fel ales incat tensiunile de atingere si de pas care vor rezulta la locul scurtcircuitului sa se situeze peste valorile prescrise de normele in vigoare;timpul de reglaj al protectiei trebuie in asa fel ales incat tensiunile de atingere si de pas care vor rezulta la locul scurtcircuitului sa se situeze sub valorile prescrise de normele in vigoare;ACE;PROFESIONALA;6
9108;La releul de distanta tip D114, pozitionarea fisei R pe pozitia 1,5 duce la:;Prelungirea domeniului de masurare cu 50% numai pentru treapta I;Prelungirea domeniului de masurare cu 35% numai pentru treapta I;Prelungirea domeniului de masurare cu 50% pentru toate treptele;Prelungirea domeniului de masurare cu 35% pentru toate treptele;-;C;PROFESIONALA;3
9109;Releele de tensiune de tip RT-4 se pot regla pentru gama:;0,25 Un si 1,5 Un;0,5 Un si 1 Un;0,25 Un si 1 Un;0,5 Un si 1,5 Un;-;C;PROFESIONALA;3
9110;Pentru conectarea transformatoarelor de tensiune la circuitul protejat, precum si a releelor la bornele secundare ale transformatoarelor de tensiune trebuie respectate anumite reguli. Care dintre aceste reguli, enumerate mai jos, este enuntata gresit:;In cazul masurarii unei tensiuni faza-nul sau faza-pamant, inceputul infasurarii primare se conecteaza la faza, iar sfarsitul la nul sau pamant;In cazul masurarii unei tensiuni intre doua faze, inceputul infasurarii primare se conecteaza la faza care, in ordinea succesiunii inverse, este prima;Bobina de tensiune a releului se conecteaza la bornele secundare a,b ale transformatorului de tensiune, astfel incat sa fie parcursa de curentul secundar, in sens invers in care ar fi parcursa de curentul primar, daca ar fi conectata direct la bornele infasurarii primare cu aceeasi simbolizare;Bobinele de tensiune ale mai multor relee se conecteaza in paralel la bornele secundare ale transformatorului de tensiune, cu conditia sa nu fie depasita sarcina secundara a acestuia;-;BC;PROFESIONALA;6
9111;Criteriul de alegere al transformatoarelor de curent pentru protectia prin relee, il constituie, pentru cel mai mare curent de scurtcircuit, o eroare de maximum:;5%;10%;15%;7%;-;B;PROFESIONALA;3
9112;Releele directionale RBM 178 pot sta conectate la tensiunea de maxim 1 Un, fara sa se distruga, timp de:;1 minut;5 minute;10 minute;nelimitat;-;A;PROFESIONALA;3
9115;Cele doua relee electrodinamice Sj si Sw din carul elementului de blocaj la pendulatii al releului de distanta D114, au ca marimi comune de alimentare:;Curentul Ir si tensiunea Ust;Curentul Is si tensiunea Ust;Curentul It si tensiunea Ust;-;-;BC;PROFESIONALA;6
9116;Dupa modul de conectare a elementului sensibil, releele pot fi:;primare;de curent;de tensiune;secundare;intermediare;ADE;PROFESIONALA;6
9119;Marimile analogice principale de intrare in releele bazate pe microprocesor, ca de exemplu tensiunile si curentii sinusoidali, sunt de cele mai multe ori incarcate de armonici si zgomote nedorite;este necesara o filtrare, pentru a identifica armonicile superioare;este necesara o filtrare, pentru a extrage numai componentele de frecventa fundamentala;este necesara o conversie analog digitala;-;-;B;PROFESIONALA;5
